,Reg. Year,Sex,Age,Basic Qualification,Additional Qualification,State
154,2014,Male,43,MBBS University of Manipur,Dip Child HealthU Rajiv Gandhi H Sciences,tripura
155,2014,Male,60,MBBS University of kerala,,tripura
156,2014,Male,65,MBBS University of kerala,,tripura
157,2014,Male,57,MBBS University of Luknow,MSophthalmologyUniversity of Luknow,tripura
158,2014,Male,63,MBBS Gauhati University,MSGeneral Surgery Manipur University,tripura
159,2014,Male,42,MBBS AP Singh University Rewa,,tripura
160,2014,Male,47,MBBS Meerut University,MSOphthalmologyManipur University,west bengal
161,2014,Male,49,MBBS Regional Medical College Imphal Manupur University,,tripura
162,2014,Male,53,MBBS University of Rajasthan,MDPathology Nagpur University,tripura
163,2014,Male,59,MBBS Bhopal University,MDPathology Bhopal University,tripura
164,2012,Male,32,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,tripura
165,2014,Male,55,MBBS Regional Medical College Imphal Manupur University,MD Forensic Medicine Manipur University,tripura
166,2014,Male,53,MBBS Regional Medical College Imphal Manupur University,MDForensic Medicine Nagpur University,tripura
167,2014,Male,42,MBBS University of Rajasthan Jaipur,MD Radio Diagnosis Tripura University,tripura
168,2014,Male,40,MBBS Regional Institute of Medical Sciences Imphal Manipur University,MD Anaesthesiology Tripura University,tripura
169,2014,Male,30,MBBS Agartala Government Medical College Tripura University,,tripura
170,2014,Male,51,MBBS Regional Medical College Imphal Manupur University,,tripura
171,2014,Male,28,MBBS Agartala Government Medical College Tripura University,,uttar pradesh
172,2014,Male,27,MBBS Agartala Government Medical College Tripura University,,tripura
173,2014,Female,43,MBBS TM Bhagalpur University,,tripura
174,2014,Male,28,MBBS Agartala Government Medical College Tripura University,,tripura
175,2012,Male,31,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,tamil nadu
176,2014,Male,63,MBBS Sambalpur University,,tripura
177,2014,Male,60,MBBS Manipur University,DCPManipur University,tripura
178,2014,Male,42,MBBSManipur University,MD Manipur Universisty,tripura
179,2014,Female,41,MBBSSaurashtra University,DLO Saurashtra University,tripura
180,2014,Male,59,MBBSKerala University,,tripura
183,2014,Male,48,MBBSManipur University,,tripura
184,2014,Male,33,MBBSManipur University,,tripura
185,2014,Male,41,MBBSManipur University,,tripura
186,2012,Female,31,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,assam
187,2014,Male,45,MBBSManipur University,,tripura
188,2014,Male,31,MBBSAgartala GovtMedical CollegeTripura University,,tripura
189,2014,Male,31,MBBSAgartala GovtMedical CollegeTripura University,,tripura
190,2014,Male,1819,MBBSAgartala GovtMedical CollegeTripura University,,tripura
191,2014,Male,29,MBBSAgartala GovtMedical CollegeTripura University,,tripura
192,2014,Male,37,MBBS Regional Institute of Medical Sciences Imphal Manipur University,,tripura
193,2014,Male,33,MBBS Regional Institute of Medical Sciences Imphal Manipur University,,tripura
194,2014,Male,42,MBBS Regional Institute of Medical Sciences Imphal Manipur University,,tripura
195,2014,Male,35,MBBSAgartala GovtMedical CollegeTripura University,,tripura
196,2014,Male,31,MBBSAgartala GovtMedical CollegeTripura University,,tripura
198,2014,Male,43,MBBS NSCB Medical College Rani Durgavati Vishwavidyalaya,,tripura
199,2014,Male,62,MBBS Ranchi University,Diploma in Sports Medicine Punjabi University,tripura
200,2014,Male,41,MBBS NSCB Medical Collesge Rani Durgabati University,,tripura
201,2014,Male,39,MBBS Patna Medical College Patna University,,tripura
202,2014,Male,64,MBBS BangaloreMedical CollegeBangalore University,,tripura
204,2014,Male,30,MBBS Agartala Govt Medical College Tripura University,,tripura
205,2014,Male,28,MBBS Agartala Govt Medical College Tripura University,,tripura
206,2014,Male,30,MBBS Agartala Govt Medical College Tripura University,,tripura
207,2015,Male,30,MBBS Agartala Govt Medical College Tripura University,,tripura
208,2012,Female,31,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,assam
209,2016,Male,40,MBBS Regional Institute of Medical Sciences Imphal Manipur University,MS General Surgery Dr NTR University of Health Sciences,tripura
210,2016,Male,57,MBBS Regional Medical College Manipur University,,tripura
211,2014,Male,48,MBBS AP Sing University Rewa,,tripura
212,2014,Female,42,MBBS Regional Institute of Medical Sciences Imphal Manipur University,,tripura
213,2014,Male,62,MBBS University of Berhampur,,tripura
214,2014,Male,41,MBBS Regional Institute of Medical Sciences Imphal Manipur University,MD Community MedicineTripura University,tripura
215,2014,Female,32,MBBS Regional Institute of Medical Sciences Imphal Manipur University,MD Community MedicineManipur University,tripura
216,2014,Female,38,MBBS MBBS Regional Institute of Medical Sciences Imphal Manipur University,MD Anatomy Manipur University,tripura
217,2014,Female,37,MBBS MBBS Regional Institute of Medical Sciences Imphal Manipur University,MD Anatomy Manipur University,tripura
218,2012,Female,31,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,assam
219,2014,Male,49,MBBS MBBS Regional Institute of Medical Sciences Imphal Manipur University,MD Anatomy Manipur University,tripura
220,2014,Female,47,MBBS AP Singh University Rewa,,tripura
